"BehaviorSpace results (NetLogo 6.0.2)"
"vultures.nlogo"
"experiment"
"03/25/2018 00:51:59:129 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","1","2","3","4","5","6"
,"0","0","0","0","0","3.2520325203252027"
,"0","0","0","2.9197080291970803","0","3.2520325203252027"
,"0","0","0","2.9197080291970803","0","3.2520325203252027"
,"0","0","0","2.9197080291970803","0","3.2520325203252027"
,"0","0","0","2.9197080291970803","0","3.2520325203252027"
,"0","0","0","2.9197080291970803","0","3.2520325203252027"
,"0","0","0","2.9197080291970803","0","3.2520325203252027"
,"0","0","0","2.9197080291970803","0","3.2520325203252027"
,"0","0","0","2.9197080291970803","0","3.2520325203252027"
,"0","0","0","2.9197080291970803","0","3.2520325203252027"
,"0","0","0","2.9197080291970803","0","3.2520325203252027"
,"0","0","0","2.9197080291970803","0","3.2520325203252027"
,"0","0","0","2.9197080291970803","0","3.2520325203252027"
,"0","0","0","2.9197080291970803","0","3.2520325203252027"
,"0","0","0","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","0","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"0","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"2.1164021164021163","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"2.1164021164021163","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"2.1164021164021163","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"2.1164021164021163","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"2.1164021164021163","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"2.1164021164021163","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"2.1164021164021163","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"2.1164021164021163","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"2.1164021164021163","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"2.1164021164021163","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"2.1164021164021163","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"2.1164021164021163","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"2.1164021164021163","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"2.1164021164021163","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"2.1164021164021163","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"2.1164021164021163","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"2.1164021164021163","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"2.1164021164021163","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
,"2.1164021164021163","0","2.6490066225165565","2.9197080291970803","2.272727272727273","3.2520325203252027"
