"BehaviorSpace results (NetLogo 6.0.4)"
"vultures_ver3.nlogo"
"experiment"
"09/02/2018 11:48:25:112 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","cohesion?","users?","alignment?","[step]","avg-t2d","avg-t2e","tar-count"
"118","false","false","true","10000","436.306884765625","51.4736328125","13"
"116","false","false","true","10000","1984.3125","53.09375","6"
"117","false","false","true","10000","1715.28125","52.578125","7"
"119","false","false","true","10000","649.4375","51.265625","9"
"120","false","false","true","10000","633.8359375","51.18359375","10"
"122","false","false","true","10000","2291.75","55.25","5"
"121","false","false","true","10000","2004.296875","55.453125","7"
"123","false","false","true","10000","2532.75","54.21875","6"
"124","false","false","true","10000","856.6787109375","54.640625","11"
"125","false","false","true","10000","899.703125","51.90625","7"
"126","false","false","true","10000","634.283203125","52.4013671875","11"
"127","false","false","true","10000","1173.09375","52.28125","6"
"128","false","false","true","10000","793.6748046875","54.357421875","12"
"129","false","false","true","10000","1247.50390625","51.8203125","9"
"130","false","false","true","10000","764.12890625","51.50390625","12"
"131","false","false","true","10000","1325.4296875","170.2578125","8"
"132","false","false","true","10000","1728.640625","52.96875","7"
"133","false","false","true","10000","682.875","52.546875","7"
"134","false","false","true","10000","861.52734375","50.955078125","10"
"135","false","false","true","10000","561.46875","52.09375","6"
"136","false","false","true","10000","565.1484375","52.203125","8"
"137","false","false","true","10000","653","52.703125","7"
"138","false","false","true","10000","1375.5625","51.7890625","8"
"139","false","false","true","10000","838.0546875","51.515625","9"
"140","false","false","true","10000","1816.015625","53.109375","7"
"141","false","false","true","10000","328.37109375","50.7548828125","11"
"142","false","false","true","10000","541.0068359375","50.666015625","12"
"143","false","false","true","10000","1543.96875","54.71875","6"
"144","false","false","true","10000","914.046875","52.38671875","10"
"145","false","false","true","10000","807.16015625","53.60546875","10"
"146","false","false","true","10000","2751.5","58","3"
"147","false","false","true","10000","731.37890625","50.94921875","9"
"148","false","false","true","10000","2749.984375","53.140625","7"
"149","false","false","true","10000","917.203125","52.9296875","8"
"150","false","false","true","10000","1196.31396484375","52.61279296875","12"
"151","false","false","true","10000","2596","54.125","4"
"152","false","false","true","10000","691.875","51.265625","7"
"153","false","false","true","10000","620.3638916015625","51.79931640625","14"
"154","false","false","true","10000","1710.3125","55.71875","7"
"155","false","false","true","10000","1978.6875","52.5625","6"
"156","false","false","true","10000","825.7421875","51.1796875","9"
"157","false","false","true","10000","561.1064453125","51.489501953125","13"
"158","false","false","true","10000","2102.90625","54.6484375","8"
"159","false","false","true","10000","1529.1875","51.96875","8"
"160","false","false","true","10000","400.27587890625","51.11962890625","12"
"161","false","false","true","10000","957.734375","55.15625","8"
"162","false","false","true","10000","1125.578125","52.28125","7"
"163","false","false","true","10000","435.171875","50.5234375","8"
"164","false","false","true","10000","488.078125","51.5390625","8"
"165","false","false","true","10000","1435","53.125","5"
"166","false","false","true","10000","757.2896728515625","53.6688232421875","14"
"167","false","false","true","10000","1033.5166015625","53.0322265625","11"
"168","false","false","true","10000","2097.5625","53.4375","6"
"169","false","false","true","10000","231.5537109375","51.728515625","12"
"170","false","false","true","10000","589.08984375","52.21484375","9"
"171","false","false","true","10000","961.5009765625","54.013671875","12"
"172","false","false","true","10000","1049.20654296875","51.978515625","12"
"173","false","false","true","10000","1046.453125","52.609375","7"
"174","false","false","true","10000","524.14453125","51.171875","9"
"175","false","false","true","10000","606.060546875","51.572265625","11"
"176","false","false","true","10000","567.9710083007812","52.33367919921875","15"
"177","false","false","true","10000","906.76611328125","51.85400390625","12"
"179","false","false","true","10000","816.788330078125","51.4970703125","13"
"178","false","false","true","10000","1924.90625","54.6875","6"
"180","false","false","true","10000","1119.5224609375","51.982421875","11"
"181","false","false","true","10000","353.171875","50.96875","8"
"182","false","false","true","10000","2336.75","55.875","4"
"183","false","false","true","10000","719.736328125","53.603515625","10"
"184","false","false","true","10000","1498.71875","52.9375","6"
"185","false","false","true","10000","654.890625","51.4453125","10"
"186","false","false","true","10000","1306.28125","52.8125","6"
"187","false","false","true","10000","1004.515625","52.234375","8"
"188","false","false","true","10000","725.4765625","51.78515625","9"
"189","false","false","true","10000","1362.59375","52.890625","8"
"190","false","false","true","10000","234.0859375","50.78125","8"
"191","false","false","true","10000","906.109375","51.609375","7"
"192","false","false","true","10000","1315.9765625","52.48046875","9"
"193","false","false","true","10000","420.3046875","51.109375","8"
"194","false","false","true","10000","1150.75","52.59375","7"
"195","false","false","true","10000","779.40625","66.28125","6"
"196","false","false","true","10000","869.640625","54.0078125","8"
"197","false","false","true","10000","373.755859375","52.189453125","10"
"198","false","false","true","10000","949.25","53.75","6"
"199","false","false","true","10000","615.408203125","51.470703125","11"
"200","false","false","true","10000","620.859375","127.02490234375","12"
"201","false","false","true","10000","765.83740234375","52.083984375","12"
"202","false","false","true","10000","658.37109375","51.30078125","9"
"203","false","false","true","10000","2838.6875","52.75","5"
"204","false","false","true","10000","1321.3984375","55.27734375","9"
"205","false","false","true","10000","974.17919921875","51.68408203125","12"
"206","false","false","true","10000","618.5234375","51.24609375","9"
"207","false","false","true","10000","817.625","52.03125","7"
"208","false","false","true","10000","592.62890625","51.44140625","9"
"209","false","false","true","10000","2765.8125","53.625","5"
"210","false","false","true","10000","1993.75","55.125","4"
"211","false","false","true","10000","590.24365234375","52.9599609375","12"
"212","false","false","true","10000","1397.59375","55.40625","7"
"213","false","false","true","10000","2037.3125","54.5","5"
"214","false","false","true","10000","1404.3125","54.5","5"
"215","false","false","true","10000","659.802490234375","51.99658203125","13"
"216","false","false","true","10000","787.796875","52.40625","9"
"217","false","false","true","10000","1341.65625","53.0625","6"
"218","false","false","true","10000","2171.5","54.75","4"
"219","false","false","true","10000","473.89599609375","54.6483154296875","14"
"220","false","false","true","10000","1209.119140625","51.671875","10"
"221","false","false","true","10000","1265.1875","53.359375","7"
"222","false","false","true","10000","515.06640625","51.322265625","10"
"223","false","false","true","10000","722.3515625","51.6953125","10"
"224","false","false","true","10000","1377.09375","52.96875","7"
"225","false","false","true","10000","1029.2265625","52.8359375","9"
"226","false","false","true","10000","1154.796875","53.21875","7"
"227","false","false","true","10000","3787.25","58","3"
"228","false","false","true","10000","1287.546875","52.859375","8"
"229","false","false","true","10000","571.265625","50.484375","7"
"230","false","false","true","10000","492.8466796875","387.8056640625","11"
"232","false","false","true","10000","1147.4140625","52.18359375","9"
"231","false","false","true","10000","940.828125","53.2890625","8"
"233","false","false","true","10000","2431.625","56.5","4"
"234","false","false","true","10000","993.1875","53.1875","5"
"235","false","false","true","10000","2113.22265625","51.58203125","9"
"236","false","false","true","10000","807.78125","51.59375","6"
"237","false","false","true","10000","542.25","51.5625","7"
"238","false","false","true","10000","2059.828125","55.0546875","8"
"239","false","false","true","10000","659.046875","67.00390625","9"
"240","false","false","true","10000","554.92431640625","52.08935546875","12"
"241","false","false","true","10000","755.876220703125","51.3994140625","13"
"242","false","false","true","10000","509.16796875","51.759765625","10"
"243","false","false","true","10000","825.34765625","96.78515625","9"
"245","false","false","true","10000","2445.5","54.625","4"
"244","false","false","true","10000","475.0625","53.59375","6"
"246","false","false","true","10000","1830.373046875","56.46484375","10"
"247","false","false","true","10000","563.0244140625","50.46044921875","12"
"248","false","false","true","10000","3428.125","55","4"
"249","false","false","true","10000","721.20703125","51.0703125","9"
"250","false","false","true","10000","752.5234375","52.22265625","9"
"251","false","false","true","10000","877.828125","53.3125","7"
"252","false","false","true","10000","872.419921875","51.40869140625","12"
"253","false","false","true","10000","1119.953125","52.9375","7"
"254","false","false","true","10000","1929.9375","55.625","5"
"255","false","false","true","10000","1210.3125","53.21875","7"
"256","false","false","true","10000","1190.28125","51.65625","6"
"257","false","false","true","10000","3283.40625","55.3125","6"
"258","false","false","true","10000","1624.5","54.125","5"
"259","false","false","true","10000","924.46484375","52.765625","9"
"260","false","false","true","10000","1886.28125","53.8046875","8"
"261","false","false","true","10000","1542.03125","52.15625","7"
"262","false","false","true","10000","1719.5","54","3"
"263","false","false","true","10000","1490.51171875","53.8046875","9"
"264","false","false","true","10000","730.3388671875","51.4521484375","11"
"265","false","false","true","10000","1088.03125","52.21875","6"
"266","false","false","true","10000","910.015625","53.4375","8"
"267","false","false","true","10000","936.5625","52.328125","7"
"268","false","false","true","10000","1159.89453125","53.65625","9"
"269","false","false","true","10000","1333.375","55.125","4"
"270","false","false","true","10000","719.0625","52.828125","7"
"271","false","false","true","10000","361.250732421875","51.38330078125","13"
"272","false","false","true","10000","434.564453125","50.5400390625","11"
"273","false","false","true","10000","1824.265625","53.328125","9"
"274","false","false","true","10000","1587.6875","54","5"
"275","false","false","true","10000","1591.1484375","126.5625","8"
"276","false","false","true","10000","891.240234375","51.6328125","10"
"277","false","false","true","10000","820.05078125","51.400390625","10"
"278","false","false","true","10000","1017.34765625","51.484375","9"
"279","false","false","true","10000","1720.03125","52.15625","6"
"280","false","false","true","10000","804.625","51.84375","6"
"281","false","false","true","10000","545.00390625","52.5869140625","12"
"282","false","false","true","10000","260.6328125","59.8359375","8"
"283","false","false","true","10000","1319.6875","84.75","5"
"284","false","false","true","10000","410.771484375","50.6328125","10"
"285","false","false","true","10000","1014.5625","51.8125","7"
"286","false","false","true","10000","1493.1875","52.9375","5"
"287","false","false","true","10000","605.1640625","51.1484375","10"
"288","false","false","true","10000","604.1171875","51.8125","8"
"289","false","false","true","10000","1187.15234375","52.01953125","9"
"290","false","false","true","10000","704.7169799804688","53.91339111328125","15"
"291","false","false","true","10000","1413.62890625","72.501953125","10"
"292","false","false","true","10000","1032.875","52.25","5"
"293","false","false","true","10000","975.5693359375","52.3291015625","11"
"294","false","false","true","10000","1210.4794921875","52.4560546875","12"
"295","false","false","true","10000","1871.9375","52.953125","7"
"296","false","false","true","10000","511.9765625","50.4296875","8"
"297","false","false","true","10000","1432.125","55.7734375","8"
"298","false","false","true","10000","933.4140625","53.1171875","8"
"299","false","false","true","10000","763.9765625","52.828125","10"
"300","false","false","true","10000","1545.5078125","52.4453125","8"
"301","false","false","true","10000","1027.310546875","51.5126953125","11"
"302","false","false","true","10000","2046.5","54","5"
"303","false","false","true","10000","768.4609375","51.6328125","9"
"304","false","false","true","10000","655.138671875","51.548828125","11"
"305","false","false","true","10000","223.5546875","50.7734375","9"
"307","false","false","true","10000","691.5146484375","53.548828125","11"
"306","false","false","true","10000","1343.0234375","52.6875","8"
"308","false","false","true","10000","1757.8125","53.5","7"
"309","false","false","true","10000","842.2421875","52.1875","8"
"310","false","false","true","10000","745.376953125","51.2060546875","12"
"311","false","false","true","10000","1113.0390625","51.8515625","10"
"312","false","false","true","10000","1809.24658203125","53.75927734375","12"
"313","false","false","true","10000","1932.28125","51.1953125","8"
"314","false","false","true","10000","874.359375","51.484375","8"
"315","false","false","true","10000","859.458984375","52.283203125","11"
"316","false","false","true","10000","1051.1015625","52.734375","8"
"317","false","false","true","10000","899.15625","52.34375","7"
"318","false","false","true","10000","1082.7060546875","53.0791015625","11"
"319","false","false","true","10000","778.6640625","51.4140625","8"
"320","false","false","true","10000","2233.375","55.25","4"
"321","false","false","true","10000","722.669921875","52.1328125","10"
"322","false","false","true","10000","490.71484375","52.013671875","10"
"323","false","false","true","10000","795.5546875","52.3115234375","11"
"324","false","false","true","10000","597.357421875","53.224609375","11"
"325","false","false","true","10000","1487.921875","53.921875","7"
"326","false","false","true","10000","823.6875","53.125","5"
"327","false","false","true","10000","1699.44873046875","51.1376953125","12"
"328","false","false","true","10000","1154.859375","51.65625","7"
"329","false","false","true","10000","918.7822265625","51.8125","11"
"330","false","false","true","10000","1271.6796875","53.3671875","8"
"331","false","false","true","10000","198.08203125","51.06640625","12"
"332","false","false","true","10000","679.734375","54.109375","8"
"334","false","false","true","10000","305.14453125","50.61328125","9"
"333","false","false","true","10000","1540.6875","53.015625","7"
"335","false","false","true","10000","1468.10546875","51.5234375","9"
"336","false","false","true","10000","590.884765625","50.849609375","10"
"337","false","false","true","10000","3682","61","2"
"338","false","false","true","10000","3304.15625","54.9375","6"
"339","false","false","true","10000","1523.01171875","52.21875","9"
"340","false","false","true","10000","631.7265625","51.125","8"
"341","false","false","true","10000","704.796875","51.453125","7"
"343","false","false","true","10000","737.16455078125","50.765625","12"
"342","false","false","true","10000","529.642578125","51.5859375","10"
"344","false","false","true","10000","743.779296875","50.759765625","10"
"346","false","false","true","10000","190.6795654296875","52.0904541015625","14"
"345","false","false","true","10000","855.8125","51.578125","7"
"347","false","false","true","10000","1008.375","51.25","5"
"348","false","false","true","10000","1019.875","52.181640625","12"
"350","false","false","true","10000","392.7431640625","52.0517578125","11"
"349","false","false","true","10000","2073.09375","53.21875","7"
"352","false","false","true","10000","957.794677734375","53.17529296875","13"
"351","false","false","true","10000","1952.75","54.34375","6"
"353","false","false","true","10000","645.015625","51.4375","7"
"354","false","false","true","10000","1106.625","53.109375","7"
"355","false","false","true","10000","1132.6015625","52.71875","9"
"356","false","false","true","10000","441.578125","51.7578125","8"
"357","false","false","true","10000","1818.75","54.4375","5"
"358","false","false","true","10000","913.84375","55.4609375","8"
"359","false","false","true","10000","398.47607421875","50.7275390625","12"
