"BehaviorSpace results (NetLogo 6.0.4)"
"vultures_ver3.nlogo"
"experiment"
"09/03/2018 09:42:13:697 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","cohesion?","users?","alignment?","[step]","avg-t2d","avg-t2e","tar-count"
"4","true","false","false","10000","8522","500","1"
"8","true","false","false","10000","886.5","414.5","3"
"7","true","false","false","10000","4654.5","500","2"
"5","true","false","false","10000","345","383","2"
"2","true","false","false","10000","1845.125","423.25","4"
"6","true","false","false","10000","3752","500","2"
"3","true","false","false","10000","241.890625","222.6875","8"
"1","true","false","false","10000","10000","500","0"
"9","true","false","false","10000","4278","381.5","2"
"10","true","false","false","10000","209.029296875","268.34375","10"
"11","true","false","false","10000","350.875","270.5625","6"
"12","true","false","false","10000","2744.5","500","2"
"13","true","false","false","10000","10000","500","0"
"14","true","false","false","10000","7630","500","1"
"16","true","false","false","10000","1062.6875","271.9375","5"
"15","true","false","false","10000","9646","500","1"
"17","true","false","false","10000","10000","500","0"
"20","true","false","false","10000","350.0625","358.265625","9"
"19","true","false","false","10000","440.8203125","317.78125","9"
"18","true","false","false","10000","2626.5","392.25","3"
"21","true","false","false","10000","4763","500","1"
"22","true","false","false","10000","2487.5","385.5","3"
"24","true","false","false","10000","653","211.75","3"
"23","true","false","false","10000","1457.15625","485.71875","6"
"25","true","false","false","10000","10000","500","0"
"26","true","false","false","10000","9342","500","1"
"28","true","false","false","10000","563.875","461.5","5"
"27","true","false","false","10000","83","168","1"
"29","true","false","false","10000","1758.375","480.5","4"
"30","true","false","false","10000","358.421875","362.0859375","8"
"31","true","false","false","10000","675.75","275","3"
"32","true","false","false","10000","3664","451.5","2"
"33","true","false","false","10000","10000","500","0"
"34","true","false","false","10000","7333","500","1"
"35","true","false","false","10000","313.09375","303.75","6"
"36","true","false","false","10000","1128.375","350.25","4"
"37","true","false","false","10000","1076.375","236.4375","5"
"38","true","false","false","10000","10000","500","0"
"40","true","false","false","10000","10000","500","0"
"39","true","false","false","10000","2151.5","500","3"
"41","true","false","false","10000","10000","500","0"
"42","true","false","false","10000","610","352.75","4"
"43","true","false","false","10000","7884","500","1"
"44","true","false","false","10000","2908","402.5","2"
"45","true","false","false","10000","2283.5","403.25","3"
"46","true","false","false","10000","662","382","2"
"47","true","false","false","10000","3496","392","2"
"48","true","false","false","10000","4142","317.5","2"
"49","true","false","false","10000","859.1875","331","5"
"50","true","false","false","10000","41","128","1"
"51","true","false","false","10000","13","95","1"
"52","true","false","false","10000","9825","500","1"
"53","true","false","false","10000","3110.75","346","3"
