"BehaviorSpace results (NetLogo 6.0.4)"
"vultures_ver3.nlogo"
"experiment"
"09/02/2018 14:23:35:409 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","cohesion?","users?","alignment?","[step]","avg-t2d","avg-t2e","tar-count"
"1","false","false","true","10000","547.9207763671875","52.890869140625","14"
"3","false","false","true","10000","530.984375","51.28125","7"
"4","false","false","true","10000","572.625","51.921875","8"
"2","false","false","true","10000","1547.078125","53.484375","7"
"5","false","false","true","10000","951.984375","53.796875","7"
"7","false","false","true","10000","2026.4609375","53.03125","8"
"6","false","false","true","10000","1415","53.6875","5"
"8","false","false","true","10000","1297.642578125","54.0546875","10"
"10","false","false","true","10000","1291.19921875","53.6484375","9"
"9","false","false","true","10000","1027.625","54.375","6"
"11","false","false","true","10000","1182.03125","53.3125","6"
"12","false","false","true","10000","841.34375","51.11328125","9"
"13","false","false","true","10000","1364.03125","51.9375","6"
"14","false","false","true","10000","607.109375","51.37890625","9"
"15","false","false","true","10000","2054.5","54.25","4"
"16","false","false","true","10000","936.828125","51.375","7"
"17","false","false","true","10000","684.8883056640625","51.0810546875","14"
"18","false","false","true","10000","1118.984375","52.5625","7"
"20","false","false","true","10000","928.9375","52","5"
"19","false","false","true","10000","755.25","54.8125","5"
"21","false","false","true","10000","694.110595703125","51.447021484375","13"
"22","false","false","true","10000","814.306640625","51.662109375","10"
"23","false","false","true","10000","3047.609375","53.734375","7"
"24","false","false","true","10000","1410.46875","52.34375","6"
"25","false","false","true","10000","1871.6875","53.15625","6"
"26","false","false","true","10000","1108.8671875","53.498046875","10"
"27","false","false","true","10000","1200.609375","56.703125","9"
"28","false","false","true","10000","2050.625","53.90625","6"
"29","false","false","true","10000","942.2890625","51.359375","10"
"30","false","false","true","10000","939.34375","169.84375","8"
"32","false","false","true","10000","701.1357421875","52.599609375","11"
"31","false","false","true","10000","842.0546875","51.1953125","8"
"33","false","false","true","10000","1085.728515625","52.740234375","11"
"34","false","false","true","10000","1295.375","53.46875","6"
"35","false","false","true","10000","314.615234375","51.75","11"
"36","false","false","true","10000","904.875","52.765625","7"
"37","false","false","true","10000","1631.123046875","52.4638671875","11"
"38","false","false","true","10000","626.30859375","51.20703125","9"
"39","false","false","true","10000","1133.4599609375","52.08203125","11"
"40","false","false","true","10000","1132.0703125","53.921875","8"
"42","false","false","true","10000","582.4580078125","51.583984375","11"
"44","false","false","true","10000","669.138671875","51.244140625","10"
"43","false","false","true","10000","392.599609375","52.490234375","11"
"45","false","false","true","10000","1732.90625","53.75","7"
"46","false","false","true","10000","1132.90625","53.875","6"
"47","false","false","true","10000","1534.25","52.515625","7"
"48","false","false","true","10000","1055.96484375","51.734375","9"
"49","false","false","true","10000","2344.25","53.4375","5"
"50","false","false","true","10000","680.0625","51.625","7"
"52","false","false","true","10000","912.63427734375","51.1376953125","12"
"51","false","false","true","10000","1061.09375","52.671875","7"
