"BehaviorSpace results (NetLogo 6.0.4)"
"vultures_user.nlogo"
"experiment"
"08/30/2018 12:00:52:644 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","[step]","avg-t2e","avg-t2d","(tic-int-count) * 100 / (tic-max)","tar-count"
"4","20000","132.21876525878906","141.09617614746094","0","18"
"2","20000","216.34925079345703","574.7848968505859","0","18"
"3","20000","164.8698902130127","101.10665512084961","0","22"
"1","20000","315.3538513183594","276.69378662109375","0","16"
"5","20000","222.93017578125","168.44140625","0","12"
"7","20000","199.6171875","586.5234375","0","8"
"6","20000","354.966796875","520.0390625","0","11"
"8","20000","366.8028564453125","60.3973388671875","0","18"
"9","20000","317.4653081893921","80.378173828125","0","21"
"10","20000","294.7890625","698.67431640625","0","13"
"11","20000","215.79264450073242","293.86061096191406","0","21"
"12","20000","302.578125","237.65625","0","9"
"13","20000","458.328857421875","209.58984375","0","17"
"14","20000","396.859375","1760.78125","0","8"
"16","20000","216.12471951544285","204.56460750102997","0","28"
"15","20000","356.9986572265625","101.33056640625","0","14"
"17","20000","292.037109375","2878.546875","0","11"
"18","20000","380.625","1654.9375","0","5"
"19","20000","210.76309204101562","161.16796875","0","17"
"20","20000","224.30172729492188","238.4617919921875","0","18"
"21","20000","295.234375","2787.28125","0","7"
"23","20000","218.6880645751953","895.404541015625","0","18"
"22","20000","410.125","1066.875","0","6"
"24","20000","248.875","4032.25","0","4"
"25","20000","209.38088989257812","127.9940185546875","0","16"
"27","20000","311.4765625","1358.125","0","8"
"26","20000","230.8125","1210.203125","0","9"
"28","20000","248.5","4865.5","0","3"
"29","20000","251.20245122909546","376.0041694641113","0","23"
"30","20000","269.70996046066284","241.00977563858032","0","23"
"31","20000","211.2783203125","1414.27734375","0","11"
"32","20000","218.484375","477.296875","0","9"
"33","20000","371","678.8125","0","6"
"34","20000","284.5703125","356.681640625","0","10"
"36","20000","247.93910217285156","738.0350799560547","0","19"
"35","20000","500","100","0","1"
"37","20000","173.02113723754883","153.091796875","0","20"
"38","20000","352.6796875","569.15625","0","8"
"39","20000","257.4209671020508","210.81543111801147","0","23"
"40","20000","429.90093994140625","128.1591796875","0","15"
"41","20000","306.5631103515625","289.4757080078125","0","15"
"42","20000","232.8125","529.5546875","0","8"
"44","20000","349.63586688041687","691.0439624786377","0","24"
"43","20000","200.1199951171875","684.6629638671875","0","15"
"45","20000","363","2027.5","0","5"
"48","20000","215.784423828125","92.0428466796875","0","14"
"47","20000","176.75","177.25","0","4"
"49","20000","129.94060516357422","338.69074523448944","0","25"
"51","20000","378.9857678413391","81.62082862854004","0","24"
"50","20000","429.8536376953125","941.2685546875","0","15"
"52","20000","255.88081169128418","391.94331550598145","0","23"
"53","20000","209.85504150390625","444.31317138671875","0","19"
"54","20000","156.05236053466797","1803.098861694336","0","22"
"55","20000","100","100","0","0"
"56","20000","149.55715942382812","480.634765625","0","16"
"57","20000","220.3095703125","335.20166015625","0","13"
"58","20000","429.189208984375","1221.759765625","0","14"
"60","20000","445.98569213971496","257.96338081359863","0","30"
"59","20000","256.25","554.46875","0","7"
"61","20000","203.76171875","398.25","0","9"
"62","20000","350.5","1208","0","2"
"63","20000","146.7564697265625","236.3704833984375","0","15"
"64","20000","385.40625","803.7197265625","0","11"
"65","20000","419","2075.375","0","6"
"66","20000","361.2320556640625","210.7578125","0","14"
"67","20000","392.220703125","574.4892578125","0","13"
"68","20000","181.7056884765625","423.1114501953125","0","15"
"70","20000","415.6644821166992","173.2593994140625","0","18"
"69","20000","422.7430953979492","589.0532684326172","0","19"
"71","20000","155.7053985595703","329.56864950060844","0","29"
"72","20000","245.918701171875","265.130859375","0","13"
"73","20000","389.421875","692.765625","0","9"
"75","20000","277.0428466796875","463.2109375","0","15"
"74","20000","306.7628173828125","794.2611083984375","0","15"
"76","20000","255.2188720703125","423.917724609375","0","18"
"77","20000","190.35316467285156","154.93505477905273","0","23"
"78","20000","242.125","1057.21875","0","9"
"79","20000","215.37832355499268","616.9709243774414","0","21"
"80","20000","349.4984130859375","188.1630859375","0","16"
"81","20000","335.07958984375","335.52734375","0","12"
"82","20000","190.16259765625","535.01953125","0","13"
"83","20000","184.79532623291016","251.06500244140625","0","20"
"84","20000","203.4798583984375","245.6619873046875","0","19"
"85","20000","319.396728515625","3185.14013671875","0","13"
"86","20000","228.80908203125","787.344482421875","0","13"
"87","20000","454.7178955078125","349.51531982421875","0","16"
"88","20000","192.32421875","740.08154296875","0","14"
"89","20000","275.4568176269531","214.27984619140625","0","16"
"90","20000","371.134765625","117.34765625","0","10"
"91","20000","132.3763047605753","201.29856956005096","0","27"
"92","20000","247.5897911787033","175.72398948669434","0","25"
"93","20000","430.5078125","135.15625","0","10"
"94","20000","399.2028503417969","115.44789123535156","0","18"
"95","20000","145.8182373046875","462.76475524902344","0","17"
"96","20000","169.17930793762207","243.31879425048828","0","20"
"97","20000","313.87451171875","203.0411376953125","0","16"
"98","20000","357.152587890625","864.0781555175781","0","16"
"99","20000","267.4765625","219.2734375","0","10"
"100","20000","327.10693359375","429.68359375","0","13"
