"BehaviorSpace results (NetLogo 6.0.4)"
"vultures_user.nlogo"
"experiment"
"08/29/2018 23:51:23:867 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","[step]","avg-t2e","avg-t2d","(tic-int-count) * 100 / (tic-max)","tar-count"
"2","20000","380.0646261125803","570.7258533090353","0","28"
"6","20000","208.1457612812519","907.3960721194744","0","28"
"8","20000","232.36274475307437","65.28886855766177","0","36"
"7","20000","212.84417027974268","58.947236467385665","0","38"
"4","20000","417.2475453391671","408.52209578827024","0","29"
"5","20000","247.721529699862","220.91385565698147","0","29"
"3","20000","285.37372419657186","118.68813983851578","0","36"
"1","20000","251.42822272959165","165.6220838050358","0","33"
"9","20000","313.9764231684385","716.4305934794247","0","34"
"10","20000","475.6000409722328","485.2169628739357","0","31"
"11","20000","405.72095489501953","1144.9781341552734","0","19"
"12","20000","251.4659765777178","180.61969480663538","0","33"
"14","20000","290.46465467242524","136.8074234239757","0","33"
"15","20000","163.8557204157114","80.31918901205063","0","28"
"16","20000","271.55032524466515","105.04858982563019","0","27"
"13","20000","270.5878970292106","145.7729049930931","0","39"
"17","20000","335.492592073977","302.84571519494057","0","28"
"19","20000","265.69931640508","164.88223662925884","0","37"
"18","20000","324.2811062382534","122.82629963755608","0","33"
"20","20000","354.0938482284546","146.08421325683594","0","21"
"21","20000","190.83759393625405","242.3076179800555","0","41"
"22","20000","240.01277139631566","271.0439917645417","0","34"
"23","20000","354.5338456945028","584.7519392687827","0","34"
"24","20000","441.8882436193526","1074.2056311666965","0","29"
"26","20000","230.94490444130497","238.83927895565284","0","36"
"25","20000","394.9257001578808","287.2278620004654","0","26"
"27","20000","215.84150101337582","158.7636825889349","0","31"
"28","20000","367.1095148772001","178.1602244824171","0","30"
"29","20000","184.84408225226798","155.2765638132114","0","37"
"30","20000","242.27927239611745","153.94455736875534","0","29"
"31","20000","421.1589096355019","572.8053389664274","0","34"
"32","20000","334.87199122915627","132.13503598139505","0","36"
"33","20000","233.09399987501092","120.62597174104303","0","36"
"34","20000","189.29383206993953","640.8605183733234","0","38"
"35","20000","230.72795142093673","533.1550109183881","0","34"
"37","20000","284.2812080215663","776.8786160610616","0","31"
"36","20000","353.8011474609375","359.587158203125","0","15"
"38","20000","323.07308353483677","581.8783663511276","0","30"
"39","20000","286.2029305100441","235.36979818344116","0","26"
"40","20000","231.64638105442282","107.33927144808695","0","37"
"41","20000","459.44234485551715","241.2935572862625","0","32"
"42","20000","375.8750447072671","142.67410024721175","0","36"
"43","20000","322.4741337224841","153.40072940289974","0","29"
"44","20000","340.16703331348253","137.75936170155182","0","35"
"45","20000","269.9323233217001","205.76512148976326","0","29"
"47","20000","360.6223772035446","1087.8931269712048","0","34"
"46","20000","295.0061671733856","579.2952626943588","0","25"
"49","20000","360.2520429491997","525.8722096681595","0","28"
"50","20000","307.62604098953307","285.8934744410217","0","31"
"48","20000","216.9197668330744","148.96298971772194","0","32"
"51","20000","425.7829420566559","640.3743939399719","0","26"
"52","20000","291.69630407728255","432.27124563325197","0","34"
"53","20000","434.6356985569","410.8132815361023","0","25"
"54","20000","289.5973067955347","137.84272618597606","0","37"
"55","20000","332.9009394720197","239.7613229379058","0","29"
"56","20000","299.51421253883746","129.79323897324502","0","34"
"57","20000","255.25437945844897","186.32455775207018","0","40"
"59","20000","260.8607425689697","457.7942819595337","0","23"
"58","20000","431.3575154542923","1294.6592783927917","0","27"
"60","20000","232.05231948150322","259.07672095671296","0","33"
"61","20000","355.94634721660987","381.11982360784896","0","33"
"64","20000","394.7516249183973","94.37647352472413","0","38"
"62","20000","258.4444646674674","197.48857813887298","0","34"
"65","20000","282.95690019614995","131.1114217089489","0","34"
"63","20000","212.9464036208301","246.3796969614632","0","39"
"66","20000","270.33498883247375","28.620723485946655","0","25"
"67","20000","182.0516209602356","396.78765654563904","0","24"
"68","20000","242.75526732299477","195.64705788041465","0","34"
"69","20000","307.4550205171108","325.22989566624165","0","27"
"70","20000","227.5832654144615","235.6008301973343","0","30"
"72","20000","251.296939829248","174.54384103231132","0","35"
"71","20000","194.8821479305625","67.92593266069889","0","29"
"73","20000","230.33642888069153","281.8521919250488","0","24"
"74","20000","244.9895543679595","248.63436292205006","0","33"
"76","20000","291.9390461742878","249.36947268247604","0","27"
"77","20000","415.82595292606857","42.47905668616295","0","35"
"75","20000","194.11518890690058","144.93113893881673","0","37"
"78","20000","296.3249936103821","1410.8290011882782","0","23"
"79","20000","163.28428352757692","185.68554748455063","0","40"
"80","20000","210.4310139005538","231.35295042325743","0","35"
"81","20000","257.70848586634384","107.17326664738357","0","37"
"82","20000","379.62619000463746","277.9469474517391","0","36"
"83","20000","305.33564911875874","300.0183346234262","0","31"
"84","20000","233.04664993286133","84.64474773406982","0","23"
"86","20000","322.5490842368454","203.5870499201119","0","32"
"85","20000","245.03507424742565","202.74956867904984","0","36"
"87","20000","345.096123829484","467.42573165893555","0","27"
"88","20000","271.2679660296999","373.24930120352656","0","33"
"90","20000","162.34735397181066","73.62518550944515","0","37"
"89","20000","171.3912654221058","104.82274326682091","0","29"
"91","20000","322.70067507750355","200.729855153244","0","35"
"93","20000","343.947367310524","857.3491263389587","0","24"
"92","20000","357.7001759884879","612.364721827209","0","31"
"94","20000","298.5113208871335","920.592339809984","0","31"
"95","20000","198.5219583304779","40.396602687527775","0","41"
"97","20000","214.01123052998446","160.68506154278293","0","33"
"96","20000","242.50471268594265","99.97821268811822","0","29"
"98","20000","182.81727918889374","142.13838130119257","0","35"
"99","20000","258.66647372889565","144.17581343417987","0","36"
"100","20000","282.44541116716573","963.0737881448586","0","36"
